step,file,tensor,orientation,rows,cols,cells,dense_bytes,distinct_nonzero_values,singleton_terminals,minimum_symbol_width,minimum_dictionary_and_singleton_bytes,bound_ratio,rejected_95pct,current_uint32_terminal_overflow,positive_zero_cells
100,model.safetensors,blocks.0.attn.c_k.weight,original,512,512,262144,1048576,261670,262142,27,1931474,1.8419971466064453,True,False,0
100,model.safetensors,blocks.0.attn.c_k.weight,transposed,512,512,262144,1048576,261670,262140,27,1931467,1.8419904708862305,True,False,0
100,model.safetensors,blocks.0.attn.c_proj.weight,original,512,512,262144,1048576,261646,262140,27,1931371,1.8418989181518555,True,False,0
100,model.safetensors,blocks.0.attn.c_proj.weight,transposed,512,512,262144,1048576,261646,262144,27,1931384,1.8419113159179688,True,False,0
100,model.safetensors,blocks.0.attn.c_q.weight,original,512,512,262144,1048576,261631,262140,27,1931311,1.841841697692871,True,False,0
100,model.safetensors,blocks.0.attn.c_q.weight,transposed,512,512,262144,1048576,261631,262144,27,1931324,1.8418540954589844,True,False,0
100,model.safetensors,blocks.0.attn.c_v.weight,original,512,512,262144,1048576,261680,262142,27,1931514,1.8420352935791016,True,False,0
100,model.safetensors,blocks.0.attn.c_v.weight,transposed,512,512,262144,1048576,261680,262144,27,1931520,1.842041015625,True,False,0
100,model.safetensors,blocks.0.mlp.c_fc.weight,original,2048,512,1048576,4194304,1041312,1048550,29,7966306,1.899315357208252,True,False,0
100,model.safetensors,blocks.0.mlp.c_fc.weight,transposed,512,2048,1048576,4194304,1041312,1048570,31,8228521,1.9618322849273682,True,False,0
100,model.safetensors,blocks.0.mlp.c_proj.weight,original,512,2048,1048576,4194304,1041391,1048570,31,8228837,1.9619076251983643,True,False,0
100,model.safetensors,blocks.0.mlp.c_proj.weight,transposed,2048,512,1048576,4194304,1041391,1048550,29,7966622,1.899390697479248,True,False,0
100,model.safetensors,blocks.1.attn.c_k.weight,original,512,512,262144,1048576,261652,262144,27,1931408,1.8419342041015625,True,False,0
100,model.safetensors,blocks.1.attn.c_k.weight,transposed,512,512,262144,1048576,261652,262140,27,1931395,1.8419218063354492,True,False,0
100,model.safetensors,blocks.1.attn.c_proj.weight,original,512,512,262144,1048576,261668,262144,27,1931472,1.8419952392578125,True,False,0
100,model.safetensors,blocks.1.attn.c_proj.weight,transposed,512,512,262144,1048576,261668,262144,27,1931472,1.8419952392578125,True,False,0
100,model.safetensors,blocks.1.attn.c_q.weight,original,512,512,262144,1048576,261660,262140,27,1931427,1.8419523239135742,True,False,0
100,model.safetensors,blocks.1.attn.c_q.weight,transposed,512,512,262144,1048576,261660,262142,27,1931434,1.841958999633789,True,False,0
100,model.safetensors,blocks.1.attn.c_v.weight,original,512,512,262144,1048576,261647,262140,27,1931375,1.841902732849121,True,False,0
